timeOpen,Close,Open,High,Low,volume,Chg.(%)
2022/1/4,45837.30 ,46435.70 ,47505.40 ,45602.10 ,55.59K,(0.01)
2022/1/3,46430.20 ,47293.90 ,47556.00 ,45704.00 ,41.06K,(0.02)
2022/1/2,47311.80 ,47738.70 ,47944.90 ,46718.20 ,27.02K,(0.01)
2022/1/1,47738.00 ,46217.50 ,47917.60 ,46217.50 ,31.24K,0.03 
2021/12/31,46219.50 ,47123.30 ,48553.90 ,45693.60 ,58.18K,(0.02)
2021/12/30,47123.30 ,46470.70 ,47901.40 ,46003.00 ,60.96K,0.01 
2021/12/29,46461.70 ,47548.40 ,48121.70 ,46127.80 ,63.92K,(0.02)
2021/12/28,47545.20 ,50703.40 ,50703.80 ,47345.70 ,74.39K,(0.06)
2021/12/27,50678.20 ,50783.60 ,52016.30 ,50459.00 ,43.90K,(0.00)
2021/12/26,50779.90 ,50404.00 ,51247.00 ,49527.00 ,32.34K,0.01 
2021/12/25,50406.40 ,50789.60 ,51140.20 ,50196.80 ,26.67K,(0.01)
2021/12/24,50786.10 ,50807.40 ,51795.30 ,50428.40 ,45.97K,(0.00)
2021/12/23,50801.00 ,48599.60 ,51355.60 ,48053.40 ,56.24K,0.05 
2021/12/22,48599.70 ,48898.70 ,49540.30 ,48449.70 ,40.89K,(0.01)
2021/12/21,48902.00 ,46900.10 ,49306.10 ,46654.00 ,57.88K,0.04 
2021/12/20,46895.20 ,46703.40 ,47488.90 ,45577.30 ,57.53K,0.00 
2021/12/19,46704.50 ,46855.70 ,48270.20 ,46438.40 ,44.05K,(0.00)
2021/12/18,46856.20 ,46171.80 ,47330.20 ,45513.40 ,36.93K,0.01 
2021/12/17,46172.20 ,47630.40 ,47997.20 ,45523.80 ,67.50K,(0.03)
2021/12/16,47628.20 ,48876.60 ,49387.80 ,47543.90 ,48.20K,(0.03)
2021/12/15,48871.50 ,48366.20 ,49477.90 ,46572.60 ,80.28K,0.01 
2021/12/14,48366.50 ,46709.80 ,48635.00 ,46338.30 ,62.54K,0.04 
2021/12/13,46703.60 ,50075.90 ,50196.10 ,45848.20 ,80.37K,(0.07)
2021/12/12,50081.00 ,49332.50 ,50779.20 ,48670.50 ,40.30K,0.02 
2021/12/11,49314.50 ,47138.40 ,49487.00 ,46834.00 ,45.23K,0.05 
2021/12/10,47137.20 ,47591.70 ,49974.80 ,47007.10 ,68.06K,(0.01)
2021/12/9,47596.60 ,50477.60 ,50790.20 ,47341.90 ,58.69K,(0.06)
2021/12/8,50473.90 ,50596.60 ,51204.70 ,48700.70 ,55.59K,(0.00)
2021/12/7,50595.20 ,50547.40 ,51918.60 ,50070.90 ,56.29K,0.00 
2021/12/6,50562.10 ,49412.10 ,50913.30 ,47237.90 ,89.68K,0.02 
2021/12/5,49405.50 ,49196.40 ,49689.30 ,47797.80 ,72.03K,0.00 
2021/12/4,49195.20 ,53620.70 ,53847.20 ,42587.80 ,168.00K,(0.08)
2021/12/3,53631.50 ,56495.20 ,57543.60 ,52008.90 ,89.20K,(0.05)
2021/12/2,56496.00 ,57207.80 ,57377.50 ,55807.90 ,54.94K,(0.01)
2021/12/1,57210.30 ,56891.70 ,59064.30 ,56496.50 ,66.75K,0.01 
2021/11/30,56882.90 ,57795.20 ,59174.40 ,55936.90 ,73.66K,(0.02)
2021/11/29,57794.80 ,57288.10 ,58855.20 ,56726.70 ,58.65K,0.01 
2021/11/28,57291.50 ,54758.00 ,57392.30 ,53448.30 ,49.28K,0.05 
2021/11/27,54765.90 ,53747.20 ,55280.30 ,53654.30 ,40.71K,0.02 
2021/11/26,53730.90 ,58937.30 ,59151.10 ,53533.50 ,104.03K,(0.09)
2021/11/25,58935.10 ,57167.10 ,59387.30 ,57029.80 ,56.79K,0.03 
2021/11/24,57171.70 ,57559.40 ,57697.40 ,55910.60 ,56.68K,(0.01)
2021/11/23,57573.20 ,56304.80 ,57855.10 ,55542.50 ,72.48K,0.02 
2021/11/22,56308.80 ,58719.70 ,59288.30 ,55656.80 ,76.45K,(0.04)
2021/11/21,58714.30 ,59724.00 ,60002.60 ,58528.30 ,40.98K,(0.02)
2021/11/20,59717.60 ,58080.80 ,59854.60 ,57435.30 ,44.53K,0.03 
2021/11/19,58083.40 ,56908.30 ,58335.90 ,55626.30 ,74.44K,0.02 
2021/11/18,56955.30 ,60368.20 ,60936.90 ,56524.40 ,100.37K,(0.06)
2021/11/17,60367.80 ,60074.20 ,60814.50 ,58531.90 ,73.93K,0.00 
2021/11/16,60089.10 ,63605.10 ,63605.60 ,58655.90 ,115.36K,(0.06)
2021/11/15,63597.90 ,65514.90 ,66311.20 ,63439.50 ,53.53K,(0.03)
2021/11/14,65508.20 ,64397.20 ,65508.20 ,63608.30 ,33.98K,0.02 
2021/11/13,64398.60 ,64133.30 ,64906.00 ,63381.40 ,30.34K,0.00 
2021/11/12,64134.50 ,64782.60 ,65449.70 ,62309.70 ,63.27K,(0.01)
2021/11/11,64806.70 ,64922.80 ,65583.30 ,64121.90 ,50.37K,(0.00)
2021/11/10,64932.60 ,66942.60 ,68990.60 ,62951.30 ,96.21K,(0.03)
2021/11/9,66904.40 ,67528.70 ,68493.30 ,66334.90 ,66.13K,(0.01)
2021/11/8,67527.90 ,63276.40 ,67763.30 ,63276.40 ,81.08K,0.07 
2021/11/7,63273.20 ,61483.80 ,63273.20 ,61347.20 ,34.34K,0.03 
2021/11/6,61483.90 ,60973.20 ,61543.20 ,60093.60 ,34.89K,0.01 
2021/11/5,60974.30 ,61411.50 ,62560.30 ,60742.40 ,44.46K,(0.01)
2021/11/4,61412.60 ,62915.40 ,63077.60 ,60742.90 ,49.91K,(0.02)
2021/11/3,62918.50 ,63223.50 ,63508.60 ,60883.00 ,61.05K,(0.00)
2021/11/2,63221.70 ,60912.20 ,64256.40 ,60651.50 ,65.26K,0.04 
2021/11/1,60915.30 ,61310.10 ,62430.10 ,59612.70 ,61.21K,(0.01)
2021/10/31,61309.60 ,61842.20 ,62393.70 ,60005.70 ,50.06K,(0.01)
2021/10/30,61840.10 ,62245.00 ,62338.50 ,60786.00 ,40.51K,(0.01)
2021/10/29,62242.80 ,60579.90 ,62952.20 ,60322.20 ,63.39K,0.03 
2021/10/28,60582.50 ,58437.20 ,62251.30 ,58128.10 ,88.47K,0.04 
2021/10/27,58438.10 ,60312.50 ,61452.90 ,58112.60 ,88.11K,(0.03)
2021/10/26,60310.80 ,63067.50 ,63275.10 ,59907.30 ,57.13K,(0.04)
2021/10/25,63067.00 ,60864.30 ,63694.80 ,60655.80 ,51.06K,0.04 
2021/10/24,60866.50 ,61308.20 ,61469.90 ,59523.70 ,42.67K,(0.01)
2021/10/23,61312.50 ,60693.20 ,61728.70 ,59738.30 ,37.05K,0.01 
2021/10/22,60690.30 ,62200.80 ,63699.70 ,60055.70 ,75.69K,(0.02)
2021/10/21,62210.20 ,66004.60 ,66616.90 ,62092.10 ,105.38K,(0.06)
2021/10/20,65979.10 ,64276.90 ,66967.10 ,63543.70 ,79.87K,0.03 
2021/10/19,64278.50 ,62030.20 ,64454.00 ,61451.00 ,80.16K,0.04 
2021/10/18,62056.30 ,61525.80 ,62623.60 ,60026.90 ,80.15K,0.01 
2021/10/17,61527.50 ,60865.50 ,61651.40 ,59143.40 ,53.39K,0.01 
2021/10/16,60861.10 ,61669.20 ,62329.20 ,60161.90 ,49.93K,(0.01)
2021/10/15,61672.50 ,57348.20 ,62892.80 ,56874.80 ,121.48K,0.08 
2021/10/14,57345.80 ,57370.40 ,58506.50 ,56866.80 ,59.84K,(0.00)
2021/10/13,57380.10 ,56014.50 ,57697.40 ,54314.40 ,73.62K,0.02 
2021/10/12,56015.90 ,57480.60 ,57635.70 ,54155.40 ,74.85K,(0.03)
2021/10/11,57477.30 ,54686.90 ,57814.10 ,54457.80 ,73.84K,0.05 
2021/10/10,54687.70 ,54942.50 ,56432.20 ,54100.80 ,104.43K,(0.00)
2021/10/9,54942.50 ,53924.10 ,55430.80 ,53711.70 ,64.65K,0.02 
2021/10/8,53914.70 ,53785.50 ,55977.90 ,53659.30 ,64.05K,0.00 
2021/10/7,53783.90 ,55325.20 ,55325.60 ,53476.40 ,75.68K,(0.03)
2021/10/6,55323.20 ,51470.00 ,55676.10 ,50439.50 ,116.26K,0.07 
2021/10/5,51469.30 ,49229.50 ,51872.40 ,49060.10 ,76.63K,0.05 
2021/10/4,49227.30 ,48200.40 ,49481.70 ,46958.60 ,66.92K,0.02 
2021/10/3,48200.10 ,47665.40 ,49165.20 ,47123.00 ,42.41K,0.01 
2021/10/2,47666.90 ,48147.20 ,48306.90 ,47451.70 ,39.82K,(0.01)
2021/10/1,48146.00 ,43824.40 ,48435.20 ,43292.90 ,94.66K,0.10 
2021/9/30,43823.30 ,41534.50 ,44101.20 ,41416.70 ,64.32K,0.06 
2021/9/29,41536.80 ,41023.10 ,42571.20 ,40815.00 ,48.21K,0.01 
2021/9/28,41022.30 ,42169.90 ,42758.80 ,40906.40 ,60.01K,(0.03)
2021/9/27,42172.60 ,43200.90 ,44293.20 ,42143.90 ,54.12K,(0.02)
2021/9/26,43203.40 ,42685.80 ,43907.30 ,40786.60 ,69.91K,0.01 
2021/9/25,42686.80 ,42818.70 ,42959.30 ,41714.50 ,46.35K,(0.00)
2021/9/24,42819.90 ,44867.40 ,45112.00 ,40908.50 ,128.88K,(0.05)
2021/9/23,44869.20 ,43550.70 ,44949.80 ,43090.10 ,74.54K,0.03 
2021/9/22,43551.60 ,40660.80 ,43976.70 ,40585.70 ,93.98K,0.07 
2021/9/21,40651.30 ,43012.30 ,43619.30 ,39646.80 ,142.55K,(0.05)
2021/9/20,42870.60 ,47240.80 ,47323.90 ,42547.10 ,77.96K,(0.09)
