,real_close_price_test,predict_price_test_close,predict_price_test_open,predict_price_test_high,predict_price_test_low,,真_价格是否位于__到最高价和最低价之_,,真_价格位于___的概率
291,28198.3,28236.15625,28243.0625,29286.5918,27375.48828,,1,,
292,27802.1,27981.93945,27974.10547,29022.36523,27108.05469,,1,,
293,28164.4,27607.74219,27593.56445,28645.83594,26719.6543,,1,,
294,28173.5,27768.84961,27772.71875,28820.02344,26894.40234,,1,,
295,28036.7,27934.99414,27943.07813,28989.54297,27069.62891,,1,,
296,27910.4,27738.21875,27734.68164,28783.25586,26867.14844,,1,,
297,27941.2,27650.13281,27646.92578,28691.9375,26782.07227,,1,,
298,28326.6,27682.58594,27683.42188,28722.96094,26825.09375,,1,,
299,29641,27907.0293,27916.95313,28950.5293,27065.20117,,0,,
300,30209.6,28841.44727,28881.39063,29906.56641,28032.14063,,0,,
301,29886.4,29797.75977,29842.33203,30868.85742,29000.77734,,1,,
302,30387.4,29822.52539,29834.49219,30877.49023,28993.83984,,1,,
303,30472.5,30028.70508,30041.24805,31093.16992,29186.58398,,1,,
304,30299.6,30228.7832,30241.93359,31308.19922,29373.26367,,1,,
305,30310.3,30110.86133,30113.46289,31196.70703,29233.16211,,1,,
306,29434.9,30041.50977,30044.79688,31138.70117,29152.0293,,1,,
307,30382.2,29401.18359,29385.86328,30496.38672,28479.7207,,1,,
308,28813.7,29656.68555,29673.45898,30780.99414,28750.26172,,1,,
309,28240.5,28997.67969,28987.52539,30110.99609,28057.16602,,1,,
310,27264.8,28170.21875,28149.29492,29275.53711,27208.23047,,1,,
311,27813.9,27294.45898,27268.81445,28392.87305,26322.6875,,1,,
312,27591.4,27230.85547,27234.59375,28340.19922,26294.98047,,1,,
313,27509.3,27233.90234,27245.2793,28333.55078,26327.91797,,1,,
314,28298.8,27189.4707,27201.37109,28271.68164,26305.76172,,0,,
315,28424.6,27618.94727,27649.49023,28698.87109,26770.33594,,1,,
316,29475.9,28240.32422,28281.64844,29319.66406,27412.75781,,0,,
317,29321.8,28974.57422,29022.51758,30054.95313,28163.98047,,1,,
318,29234.1,29099.39258,29124.5,30164.87891,28272.38477,,1,,
319,29252.1,29043.51172,29055.16406,30101.89648,28199.21484,,1,,
320,28077.6,29169.27539,29183.17969,30234.47461,28320.91992,,0,,
321,28669.1,28203.92773,28181.16211,29255.89844,27307.92188,,1,,
322,29023.6,28179.35352,28182.38477,29256.85547,27291.21094,,1,,
323,28842.1,28475.23633,28495.0918,29570.78906,27601.54883,,1,,
324,29513.2,28646.87109,28663.32422,29739.03906,27775.99219,,1,,
325,28857.1,29023.875,29047.83984,30118.06836,28166.16211,,1,,
326,28424.8,28789.20703,28792.81836,29870.37109,27912.37109,,1,,
327,27670.5,28403.22656,28396.13477,29476.34961,27511.13086,,1,,
328,27634.9,27629.02539,27607.13281,28693.91211,26714.18555,,1,,
329,27603.3,27298.07422,27288.09961,28368.99805,26390.6875,,1,,
330,26983.5,27252.83594,27256.67578,28329.72656,26362.04883,,1,,
331,26799.2,26844.66406,26837.39648,27905.91406,25951.99609,,1,,
332,26777.5,26324.78516,26312.41797,27373.68555,25429.76172,,1,,
333,26920,26462.7793,26469.33594,27510.9043,25594.82617,,1,,
334,27183.9,26581.36328,26591.98633,27617.94141,25736.40039,,1,,
335,27035.3,26876.91016,26894.68164,27905.81445,26055.76563,,1,,
336,27403.1,26836.93945,26843.18164,27847.75977,26019.96484,,1,,
337,26828,26911.5625,26919.96484,27918.42383,26101.72461,,1,,
338,26882.9,26702.77344,26699.26172,27699.37305,25880.98828,,1,,
339,27116.2,26657.32813,26655.22852,27652.20313,25836.36523,,1,,
340,26749.9,26753.76367,26756.23438,27749.91016,25941.12305,,1,,
341,26847.3,26644,26638.5,27633.12695,25827.79297,,1,,
342,27220.7,26558.51367,26551.80273,27545.45313,25743.1582,,1,,
343,26328.4,26840.93945,26846.55664,27835.83984,26039.9668,,1,,
344,26475.8,26360.42969,26340.81836,27339.44922,25534.91797,,1,,
345,26711.5,26081.13281,26063.11719,27061.61328,25249.63672,,1,,
346,26857.5,26311.44336,26310.78711,27302.89453,25495.31445,,1,,
347,28071.2,26480.66211,26481.45703,27469.50781,25672.97461,,0,,
348,27739.4,27315.87695,27343.4043,28322.25977,26536.91211,,1,,
349,27698.2,27655.90234,27669.0332,28653.67188,26868.33984,,1,,
350,27216.1,27577.60938,27572.26172,28564.93945,26770.37109,,1,,
351,26819,27126.65234,27104.17383,28109.54297,26291.00586,,1,,
352,27244.7,26710.83594,26684.86523,27698.25586,25858.01367,,1,,
353,27072,26723.07031,26713.21484,27727.06836,25877.4707,,1,,
354,27122.3,26792.50781,26786.92773,27800.2793,25952.21094,,1,,
355,25747.4,26858.17383,26853.55664,27863.44336,26024,,0,,
356,27230.2,25951.0332,25912.32031,26932.69336,25080.38477,,0,,
357,26342.5,26297.89844,26301.0625,27310.86328,25455.42969,,1,,
358,26501.1,26316.14648,26313.54102,27325.99805,25470.54102,,1,,
359,26479.3,26242.49609,26235.75195,27244.18164,25398.58203,,1,,
360,25844,26248.875,26243.20703,27245.27734,25413.64258,,1,,
361,25928.4,25758.22266,25735.31055,26738.88867,24910.49805,,1,,
362,25906.8,25645.10352,25630.9668,26626.33789,24808.11719,,1,,
363,25929.4,25591.58203,25581.44922,26569.69141,24766.86328,,1,,
364,25129.5,25714.44141,25711.15234,26690.16797,24906.03516,,1,,
365,25591.3,25172.23633,25146.64648,26127.84375,24348.16797,,1,,
366,26341.3,25109.09961,25096.17773,26069.625,24296.94727,,0,,
367,26515,25660.43164,25673.35742,26636.63867,24876.75781,,1,,
368,26339.7,26175.60938,26191.41406,27148.83398,25404.94531,,1,,
369,26845.9,26227.04297,26225.56445,27183.35352,25447.77734,,1,,
370,28307.7,26472.55859,26474.34375,27430.55078,25696.54297,,0,,
371,29996.9,27455.10156,27486.54688,28441.25586,26702.91211,,0,,
372,29890.5,29301.04883,29369.0957,30326.48047,28580.9375,,1,,
373,30679.4,29850.17188,29876.47266,30866.21094,29089.33984,,1,,
374,30533.6,30450.3418,30470.10352,31484.55078,29660.7168,,1,,
375,30465.3,30377.07617,30371.55664,31423.04688,29538.14063,,1,,
376,30267,30362.32813,30354.60156,31432.75391,29490.88281,,1,,
377,30689.1,30040.77539,30024.81641,31129.76758,29135.95898,,1,,
378,30078.6,30296.04883,30301.0625,31416.40039,29391.23438,,1,,
379,30445.7,29927.82031,29916.9043,31050.92969,28997.44336,,1,,
380,30472.9,30079.28125,30085.9043,31218.91602,29155.65625,,1,,
381,30586.8,30144.59766,30155.33789,31292.53125,29220.77344,,1,,
